Product Name,Size,Milk,Whip,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Caffeine (mg),Type
Caramel Macchiato,Tall,Coconut,N/A,354 mL,150,6,6,0,5,105,23,0,21,1,2%,0%,0%,0%,75,Espresso
Caramel Macchiato,Grande,Nonfat,N/A,473 mL,200,1.5,1,0,10,135,36,0,34,11,20%,0%,35%,0%,150,Espresso
Caramel Macchiato,Grande,2%,N/A,473 mL,250,7,4.5,0.2,25,150,35,0,33,10,20%,2%,30%,0%,150,Espresso
Caramel Macchiato,Grande,Whole,N/A,473 mL,280,11,6,0.3,35,140,35,0,33,10,15%,0%,30%,0%,150,Espresso
Caramel Macchiato,Grande,Soy,N/A,473 mL,210,6,1.5,0,5,120,30,1,26,9,15%,0%,35%,15%,150,Espresso
Caramel Macchiato,Grande,Coconut,N/A,473 mL,200,8,7,0,5,130,32,0,29,1,2%,0%,0%,0%,150,Espresso
Caramel Macchiato,Venti®,Nonfat,N/A,591 mL,250,1.5,1,0,10,170,45,0,42,13,25%,0%,40%,0%,150,Espresso
Caramel Macchiato,Venti®,2%,N/A,591 mL,310,9,6,0.3,35,190,44,0,42,13,20%,2%,40%,0%,150,Espresso
Caramel Macchiato,Venti®,Whole,N/A,591 mL,350,13,8,0.4,40,170,44,0,42,12,20%,0%,40%,0%,150,Espresso
Caramel Macchiato,Venti®,Soy,N/A,591 mL,260,7,1.5,0,5,150,38,1,33,11,15%,0%,40%,20%,150,Espresso
Caramel Macchiato,Venti®,Coconut,N/A,591 mL,250,10,9,0,5,170,39,0,36,1,2%,0%,0%,0%,150,Espresso
Iced Caramel Macchiato,Tall,Nonfat,N/A,354 mL,140,1.5,1,0,10,100,26,0,24,7,15%,0%,25%,0%,75,Espresso
Iced Caramel Macchiato,Tall,2%,N/A,354 mL,180,5,3.5,0.2,20,110,26,0,24,7,10%,0%,20%,0%,75,Espresso
Iced Caramel Macchiato,Tall,Whole,N/A,354 mL,200,8,4.5,0.2,25,100,26,0,24,7,10%,0%,20%,0%,75,Espresso
Iced Caramel Macchiato,Tall,Soy,N/A,354 mL,160,4.5,1.5,0,5,90,22,1,19,6,10%,0%,25%,10%,75,Espresso
Iced Caramel Macchiato,Tall,Coconut,N/A,354 mL,140,6,5,0,5,95,23,0,21,1,2%,0%,0%,0%,75,Espresso
Iced Caramel Macchiato,Grande,Nonfat,N/A,473 mL,210,2,1.5,0,10,135,37,0,35,10,20%,0%,30%,0%,150,Espresso
Iced Caramel Macchiato,Grande,2%,N/A,473 mL,250,7,4.5,0.2,25,150,37,0,34,10,15%,0%,30%,0%,150,Espresso
Iced Caramel Macchiato,Grande,Whole,N/A,473 mL,280,11,6,0.3,35,140,37,0,34,9,15%,0%,30%,0%,150,Espresso
Iced Caramel Macchiato,Grande,Soy,N/A,473 mL,220,6,2,0,5,125,32,1,28,8,15%,0%,30%,15%,150,Espresso
Iced Caramel Macchiato,Grande,Coconut,N/A,473 mL,210,8,7,0,5,130,33,0,30,1,2%,0%,2%,0%,150,Espresso
Iced Caramel Macchiato,Venti®,Nonfat,N/A,709 mL,290,2.5,1.5,0,15,180,53,0,50,14,25%,0%,45%,0%,225,Espresso
Iced Caramel Macchiato,Venti®,2%,N/A,709 mL,350,9,6,0.3,35,200,53,0,49,13,25%,2%,40%,0%,225,Espresso
Iced Caramel Macchiato,Venti®,Whole,N/A,709 mL,390,14,8,0.4,45,190,53,0,49,13,20%,0%,40%,0%,225,Espresso
Iced Caramel Macchiato,Venti®,Soy,N/A,709 mL,310,8,2,0,5,170,47,1,40,11,15%,0%,45%,20%,225,Espresso
Iced Caramel Macchiato,Venti®,Coconut,N/A,709 mL,290,10,9,0,5,170,47,0,43,2,2%,0%,2%,0%,225,Espresso
Cinnamon Dolce Latte,Short,Nonfat,No Whip,236 mL,100,0.1,0.1,0,5,70,20,0,19,6,10%,0%,20%,0%,75,Espresso
Cinnamon Dolce Latte,Short,Nonfat,Whip,236 mL,160,5,3.5,0.2,20,75,22,0,21,6,15%,0%,20%,0%,75,Espresso
Cinnamon Dolce Latte,Short,2%,No Whip,236 mL,130,3,1.5,0.1,15,75,20,0,19,6,8%,0%,15%,0%,75,Espresso
Cinnamon Dolce Latte,Short,2%,Whip,236 mL,180,8,5,0.2,30,80,22,0,20,6,15%,0%,20%,0%,75,Espresso
Cinnamon Dolce Latte,Short,Whole,No Whip,236 mL,150,5,3,0.2,15,70,20,0,19,5,8%,0%,15%,0%,75,Espresso
Cinnamon Dolce Latte,Short,Whole,Whip,236 mL,200,10,6,0.3,35,75,22,0,20,6,15%,0%,15%,0%,75,Espresso
Cinnamon Dolce Latte,Short,Soy,No Whip,236 mL,110,2.5,0.3,0,0,60,17,1,15,5,6%,0%,20%,8%,75,Espresso
Cinnamon Dolce Latte,Short,Soy,Whip,236 mL,170,8,3.5,0.2,20,65,19,1,16,5,10%,0%,20%,8%,75,Espresso
Cinnamon Dolce Latte,Short,Coconut,No Whip,236 mL,110,3.5,3.5,0,0,70,18,0,17,1,0%,0%,0%,0%,75,Espresso
Cinnamon Dolce Latte,Short,Coconut,Whip,236 mL,160,9,7,0.2,20,75,20,0,19,1,6%,0%,2%,0%,75,Espresso
Cinnamon Dolce Latte,Tall,Nonfat,No Whip,354 mL,160,0.2,0.1,0,5,110,31,0,30,9,15%,0%,30%,0%,75,Espresso
Cinnamon Dolce Latte,Tall,Nonfat,Whip,354 mL,220,6,4,0.2,30,115,33,0,31,9,25%,0%,30%,0%,75,Espresso
Cinnamon Dolce Latte,Tall,2%,No Whip,354 mL,200,5,2.5,0.2,20,125,30,0,29,9,15%,0%,30%,0%,75,Espresso
Cinnamon Dolce Latte,Tall,2%,Whip,354 mL,270,11,6,0.3,45,130,32,0,31,9,20%,2%,30%,0%,75,Espresso
Cinnamon Dolce Latte,Tall,Whole,No Whip,354 mL,230,8,5,0.3,25,110,30,0,29,8,10%,0%,25%,0%,75,Espresso
Cinnamon Dolce Latte,Tall,Whole,Whip,354 mL,290,14,9,0.4,50,120,32,0,31,9,20%,0%,30%,0%,75,Espresso
Cinnamon Dolce Latte,Tall,Soy,No Whip,354 mL,170,4,0.5,0,0,95,26,1,23,7,10%,0%,30%,15%,75,Espresso
Cinnamon Dolce Latte,Tall,Soy,Whip,354 mL,240,10,4.5,0.2,20,100,28,1,25,8,15%,0%,30%,15%,75,Espresso
Cinnamon Dolce Latte,Tall,Coconut,No Whip,354 mL,160,6,6,0,0,110,27,0,26,1,0%,0%,0%,0%,75,Espresso
Cinnamon Dolce Latte,Tall,Coconut,Whip,354 mL,230,12,9,0.2,20,115,29,0,28,1,6%,0%,2%,0%,75,Espresso
Cinnamon Dolce Latte,Grande,Nonfat,No Whip,473 mL,210,0.3,0.2,0,5,135,40,0,38,11,20%,0%,35%,0%,150,Espresso
Cinnamon Dolce Latte,Grande,Nonfat,Whip,473 mL,280,7,4.5,0.2,30,140,43,0,40,12,25%,0%,35%,0%,150,Espresso
Cinnamon Dolce Latte,Grande,2%,No Whip,473 mL,260,6,3,0.2,25,150,40,0,38,11,20%,2%,35%,0%,150,Espresso
Cinnamon Dolce Latte,Grande,2%,Whip,473 mL,330,13,8,0.4,50,160,42,0,40,12,25%,2%,35%,0%,150,Espresso
Cinnamon Dolce Latte,Grande,Whole,No Whip,473 mL,300,10,6,0.3,30,140,40,0,38,11,15%,0%,35%,0%,150,Espresso
Cinnamon Dolce Latte,Grande,Whole,Whip,473 mL,370,17,10,0.5,60,150,42,0,40,11,25%,0%,35%,0%,150,Espresso
Cinnamon Dolce Latte,Grande,Soy,No Whip,473 mL,220,5,0.5,0,0,120,34,1,30,9,10%,0%,35%,15%,150,Espresso
Cinnamon Dolce Latte,Grande,Soy,Whip,473 mL,300,12,5,0.2,25,125,37,1,32,10,20%,0%,35%,15%,150,Espresso
Cinnamon Dolce Latte,Grande,Coconut,No Whip,473 mL,210,7,7,0,0,140,36,0,33,1,0%,0%,0%,0%,150,Espresso
Cinnamon Dolce Latte,Grande,Coconut,Whip,473 mL,290,14,11,0.2,25,150,38,0,36,2,8%,0%,2%,0%,150,Espresso
Cinnamon Dolce Latte,Venti®,Nonfat,No Whip,591 mL,270,0.3,0.2,0,10,180,51,0,49,15,25%,0%,45%,0%,150,Espresso
Cinnamon Dolce Latte,Venti®,Nonfat,Whip,591 mL,340,7,4.5,0.2,35,190,54,0,51,15,35%,0%,50%,2%,150,Espresso
Cinnamon Dolce Latte,Venti®,2%,No Whip,591 mL,330,8,4,0.2,35,200,50,0,48,15,25%,2%,45%,0%,150,Espresso
Cinnamon Dolce Latte,Venti®,2%,Whip,591 mL,410,15,9,0.5,60,210,53,0,50,15,30%,2%,45%,0%,150,Espresso
Cinnamon Dolce Latte,Venti®,Whole,No Whip,591 mL,380,14,8,0.4,40,180,50,0,48,14,20%,0%,45%,0%,150,Espresso
Cinnamon Dolce Latte,Venti®,Whole,Whip,591 mL,450,21,12,0.5,70,190,53,0,50,14,30%,0%,45%,2%,150,Espresso
Cinnamon Dolce Latte,Venti®,Soy,No Whip,591 mL,280,6,1,0,0,160,43,2,38,12,15%,0%,45%,20%,150,Espresso
Cinnamon Dolce Latte,Venti®,Soy,Whip,591 mL,360,13,5,0.2,25,160,46,2,40,12,25%,0%,50%,20%,150,Espresso
Cinnamon Dolce Latte,Venti®,Coconut,No Whip,591 mL,270,10,9,0,0,180,45,0,42,2,0%,0%,0%,0%,150,Espresso
Cinnamon Dolce Latte,Venti®,Coconut,Whip,591 mL,350,17,14,0.2,25,190,47,0,45,2,8%,0%,2%,0%,150,Espresso
Espresso,Solo,N/A,N/A,N/A,5,0,0,0,0,0,1,0,0,0,0%,0%,0%,0%,75,Espresso
Espresso,Doppio,N/A,N/A,N/A,10,0,0,0,0,0,2,0,0,1,0%,0%,0%,0%,150,Espresso
Espresso,Triple,N/A,N/A,N/A,15,0,0,0,0,0,3,0,0,2,0%,0%,0%,0%,225,Espresso
Espresso,Quad,N/A,N/A,N/A,20,0,0,0,0,0,4,0,0,2,0%,0%,0%,0%,300,Espresso
Iced Espresso,Solo,N/A,N/A,N/A,5,0,0,0,0,0,1,0,0,0,0%,0%,0%,0%,75,Espresso
Iced Espresso,Doppio,N/A,N/A,N/A,10,0,0,0,0,0,2,0,0,1,0%,0%,0%,0%,150,Espresso
Iced Espresso,Triple,N/A,N/A,N/A,15,0,0,0,0,0,3,0,0,2,0%,0%,0%,0%,225,Espresso
Iced Espresso,Quad,N/A,N/A,N/A,20,0,0,0,0,0,4,0,0,2,0%,0%,0%,0%,300,Espresso
Espresso Con Panna,Solo,N/A,Whip,N/A,30,2.5,1.5,0,10,3,2,0,1,0.5,2%,0%,0%,0%,75,Espresso
Espresso Con Panna,Doppio,N/A,Whip,N/A,35,2.5,1.5,0.1,10,3,3,0,1,1,2%,0%,0%,0%,150,Espresso
Espresso Con Panna,Triple,N/A,Whip,N/A,40,2.5,1.5,0.1,10,0,4,0,1,1,2%,0%,0%,0%,225,Espresso
Espresso Con Panna,Quad,N/A,Whip,N/A,50,2.5,1.5,0.1,10,0,5,0,1,2,2%,0%,0%,0%,300,Espresso
Espresso Macchiato,Solo,Nonfat,N/A,N/A,5,0,0,0,0,2,1,0,0,0.5,0%,0%,0%,0%,75,Espresso
Espresso Macchiato,Solo,2%,N/A,N/A,10,0.1,0,0,0,2,1,0,0,0.5,0%,0%,0%,0%,75,Espresso
Espresso Macchiato,Solo,Whole,N/A,N/A,10,0.1,0.1,0,0,2,1,0,0,0.5,0%,0%,0%,0%,75,Espresso
Espresso Macchiato,Solo,Soy,N/A,N/A,5,0.1,0,0,0,2,1,0,0,0.4,0%,0%,0%,0%,75,Espresso
Espresso Macchiato,Solo,Coconut,N/A,N/A,5,0.1,0.1,0,0,2,1,0,0,0.3,0%,0%,0%,0%,75,Espresso
Espresso Macchiato,Doppio,Nonfat,N/A,N/A,15,0,0,0,0,2,2,0,0,1,0%,0%,0%,0%,150,Espresso
Espresso Macchiato,Doppio,2%,N/A,N/A,15,0.1,0,0,0,2,2,0,0,1,0%,0%,0%,0%,150,Espresso
Espresso Macchiato,Doppio,Whole,N/A,N/A,15,0.1,0,0,0,2,2,0,0,1,0%,0%,0%,0%,150,Espresso
Espresso Macchiato,Doppio,Soy,N/A,N/A,15,0.1,0,0,0,2,2,0,0,1,0%,0%,0%,0%,150,Espresso
Espresso Macchiato,Doppio,Coconut,N/A,N/A,10,0.1,0.1,0,0,2,2,0,0,1,0%,0%,0%,0%,150,Espresso
Espresso Macchiato,Triple,Nonfat,N/A,N/A,20,0,0,0,0,2,3,0,0,1,0%,0%,0%,0%,225,Espresso
Espresso Macchiato,Triple,2%,N/A,N/A,20,0.1,0,0,0,2,3,0,0,1,0%,0%,0%,0%,225,Espresso
Espresso Macchiato,Triple,Whole,N/A,N/A,20,0.1,0,0,0,2,3,0,0,1,0%,0%,0%,0%,225,Espresso
Espresso Macchiato,Triple,Soy,N/A,N/A,20,0.1,0,0,0,2,3,0,0,1,0%,0%,0%,0%,225,Espresso
Espresso Macchiato,Triple,Coconut,N/A,N/A,20,0.1,0.1,0,0,2,3,0,0,1,0%,0%,0%,0%,225,Espresso
Espresso Macchiato,Quad,Nonfat,N/A,N/A,25,0,0,0,0,2,4,0,0,2,0%,0%,0%,0%,300,Espresso
Espresso Macchiato,Quad,2%,N/A,N/A,25,0.1,0,0,0,2,4,0,0,2,0%,0%,0%,0%,300,Espresso
Espresso Macchiato,Quad,Whole,N/A,N/A,25,0.1,0,0,0,2,4,0,0,2,0%,0%,0%,0%,300,Espresso
Espresso Macchiato,Quad,Soy,N/A,N/A,25,0.1,0,0,0,2,4,0,0,2,0%,0%,0%,0%,300,Espresso
Espresso Macchiato,Quad,Coconut,N/A,N/A,25,0.1,0.1,0,0,2,4,0,0,2,0%,0%,0%,0%,300,Espresso
Flat White,Short,Nonfat,N/A,236 mL,60,0.1,0.1,0,5,70,9,0,8,6,10%,0%,20%,0%,130,Espresso
Flat White,Short,2%,N/A,236 mL,90,3.5,2,0.1,15,80,9,0,8,6,10%,0%,20%,0%,130,Espresso
Flat White,Short,Whole,N/A,236 mL,110,5,3,0.2,15,70,9,0,8,6,8%,0%,15%,0%,130,Espresso
Flat White,Short,Soy,N/A,236 mL,70,2.5,0.3,0,0,65,6,1,4,5,6%,0%,20%,8%,130,Espresso
Flat White,Short,Coconut,N/A,236 mL,60,4,3.5,0,0,70,7,0,5,1,0%,0%,0%,0%,130,Espresso
Flat White,Tall,Nonfat,N/A,354 mL,100,0.2,0.2,0,5,115,15,0,13,10,15%,0%,30%,0%,130,Espresso
Flat White,Tall,2%,N/A,354 mL,140,5,3.5,0.2,20,130,14,0,13,9,15%,0%,30%,0%,130,Espresso
Flat White,Tall,Whole,N/A,354 mL,170,9,5,0.3,25,115,14,0,13,9,15%,0%,30%,0%,130,Espresso
Flat White,Tall,Soy,N/A,354 mL,110,4,0.5,0,0,100,10,1,6,8,10%,0%,30%,15%,130,Espresso
Flat White,Tall,Coconut,N/A,354 mL,100,6,6,0,0,110,11,0,9,1,0%,0%,0%,0%,130,Espresso
Flat White,Grande,Nonfat,N/A,473 mL,130,0.3,0.2,0,5,150,19,0,17,12,20%,0%,40%,0%,195,Espresso
Flat White,Grande,2%,N/A,473 mL,180,7,4.5,0.3,30,160,18,0,17,12,20%,2%,40%,0%,195,Espresso
Flat White,Grande,Whole,N/A,473 mL,220,11,7,0.3,35,150,18,0,17,12,15%,0%,35%,0%,195,Espresso
Flat White,Grande,Soy,N/A,473 mL,150,5,0.5,0,0,130,13,1,8,10,15%,0%,40%,20%,195,Espresso
Flat White,Grande,Coconut,N/A,473 mL,130,8,7,0,0,140,14,0,11,1,0%,0%,0%,0%,195,Espresso
Flat White,Venti®,Nonfat,N/A,591 mL,170,0.4,0.3,0,10,190,24,0,23,16,30%,0%,50%,0%,195,Espresso
Flat White,Venti®,2%,N/A,591 mL,240,9,6,0.4,35,220,24,0,22,16,25%,2%,50%,0%,195,Espresso
Flat White,Venti®,Whole,N/A,591 mL,290,15,9,0.4,45,200,24,0,22,15,20%,0%,45%,0%,195,Espresso
Flat White,Venti®,Soy,N/A,591 mL,190,7,1,0,0,170,16,2,11,13,20%,0%,50%,25%,195,Espresso
Flat White,Venti®,Coconut,N/A,591 mL,170,10,10,0,0,190,18,0,15,2,0%,0%,0%,0%,195,Espresso
Latte Macchiato,Short,Nonfat,N/A,236 mL,60,0.1,0.1,0,5,70,10,0,8,6,10%,0%,20%,0%,150,Espresso
Latte Macchiato,Short,2%,N/A,236 mL,90,3.5,2,0.1,15,80,9,0,8,6,10%,0%,20%,0%,150,Espresso
Latte Macchiato,Short,Whole,N/A,236 mL,110,5,3,0.2,15,70,9,0,8,6,8%,0%,15%,0%,150,Espresso
Latte Macchiato,Short,Soy,N/A,236 mL,70,2.5,0.3,0,0,60,7,1,4,5,6%,0%,20%,8%,150,Espresso
Latte Macchiato,Short,Coconut,N/A,236 mL,70,3.5,3.5,0,0,70,7,0,5,1,0%,0%,0%,0%,150,Espresso
Latte Macchiato,Tall,Nonfat,N/A,354 mL,100,0.2,0.2,0,5,115,15,0,13,10,15%,0%,30%,0%,150,Espresso
Latte Macchiato,Tall,2%,N/A,354 mL,140,5,3.5,0.2,20,130,15,0,13,9,15%,0%,30%,0%,150,Espresso
Latte Macchiato,Tall,Whole,N/A,354 mL,170,9,5,0.3,25,115,15,0,13,9,15%,0%,30%,0%,150,Espresso
Latte Macchiato,Tall,Soy,N/A,354 mL,110,4,0.5,0,0,100,10,1,6,8,10%,0%,30%,15%,150,Espresso
Latte Macchiato,Tall,Coconut,N/A,354 mL,100,6,6,0,0,110,11,0,9,1,0%,0%,0%,0%,150,Espresso
Latte Macchiato,Grande,Nonfat,N/A,473 mL,130,0.3,0.2,0,5,150,19,0,17,12,20%,0%,40%,0%,225,Espresso
Latte Macchiato,Grande,2%,N/A,473 mL,190,7,4.5,0.3,30,160,19,0,17,12,20%,2%,40%,0%,225,Espresso
Latte Macchiato,Grande,Whole,N/A,473 mL,220,11,6,0.3,35,150,19,0,17,12,15%,0%,35%,0%,225,Espresso
Latte Macchiato,Grande,Soy,N/A,473 mL,140,5,0.5,0,0,125,13,1,8,10,15%,0%,40%,15%,225,Espresso
Latte Macchiato,Grande,Coconut,N/A,473 mL,130,8,7,0,0,140,14,0,11,2,0%,0%,0%,0%,225,Espresso
Latte Macchiato,Venti®,Nonfat,N/A,591 mL,170,0.4,0.3,0,10,190,25,0,23,16,30%,0%,50%,0%,225,Espresso
Latte Macchiato,Venti®,2%,N/A,591 mL,240,9,6,0.4,35,210,24,0,22,16,25%,2%,50%,0%,225,Espresso
Latte Macchiato,Venti®,Whole,N/A,591 mL,290,15,8,0.4,45,200,24,0,22,15,20%,0%,45%,0%,225,Espresso
Latte Macchiato,Venti®,Soy,N/A,591 mL,190,7,1,0,0,170,16,2,10,13,15%,0%,50%,20%,225,Espresso
Latte Macchiato,Venti®,Coconut,N/A,591 mL,170,10,10,0,0,190,18,0,15,2,0%,0%,0%,0%,225,Espresso
Skinny Cinnamon Dolce Latte,Short,Nonfat,N/A,236 mL,60,0.1,0.1,0,5,80,9,0,8,6,10%,0%,20%,0%,75,Espresso
Skinny Cinnamon Dolce Latte,Tall,Nonfat,N/A,354 mL,100,0.2,0.1,0,5,125,14,0,13,9,15%,0%,30%,0%,75,Espresso
Skinny Cinnamon Dolce Latte,Grande,Nonfat,N/A,473 mL,120,0.3,0.2,0,5,160,19,0,16,12,20%,0%,35%,0%,150,Espresso
Skinny Cinnamon Dolce Latte,Venti®,Nonfat,N/A,591 mL,160,0.3,0.2,0,10,200,24,0,21,15,25%,0%,50%,0%,150,Espresso
Iced Skinny Cinnamon Dolce Latte,Tall,Nonfat,N/A,354 mL,60,0.1,0.1,0,5,80,9,0,8,6,10%,0%,20%,0%,75,Espresso
Iced Skinny Cinnamon Dolce Latte,Grande,Nonfat,N/A,473 mL,80,0.2,0.1,0,5,105,12,0,10,7,10%,0%,20%,0%,150,Espresso
Iced Skinny Cinnamon Dolce Latte,Venti®,Nonfat,N/A,709 mL,110,0.2,0.2,0,5,140,17,0,14,10,15%,0%,30%,0%,225,Espresso
Skinny Mocha,Short,Nonfat,N/A,236 mL,80,1,0.5,0,5,70,12,2,7,7,8%,0%,15%,30%,75,Espresso
Skinny Mocha,Tall,Nonfat,N/A,354 mL,130,1,1,0.1,5,115,18,3,12,11,15%,0%,30%,45%,75,Espresso
Skinny Mocha,Grande,Nonfat,N/A,473 mL,160,1.5,1,0.1,5,140,24,4,15,14,20%,0%,35%,60%,150,Espresso
Skinny Mocha,Venti®,Nonfat,N/A,591 mL,210,2,1.5,0.1,10,190,30,5,19,18,25%,0%,45%,70%,150,Espresso
Iced Skinny Mocha,Tall,Nonfat,N/A,354 mL,90,1,0.5,0.1,5,75,13,3,7,7,8%,0%,15%,45%,75,Espresso
Iced Skinny Mocha,Grande,Nonfat,N/A,473 mL,120,1.5,1,0.1,5,95,17,4,8,9,10%,0%,20%,60%,150,Espresso
Iced Skinny Mocha,Venti®,Nonfat,N/A,709 mL,170,2.5,1.5,0.1,5,130,25,6,11,13,15%,0%,30%,90%,225,Espresso
Starbucks Doubleshot on Ice,Tall,Nonfat,N/A,354 mL,70,0,0,0,0,35,14,0,13,3,4%,0%,8%,0%,150,Espresso
Starbucks Doubleshot on Ice,Tall,2%,N/A,354 mL,80,1,1,0.1,5,35,14,0,13,3,4%,0%,8%,0%,150,Espresso
Starbucks Doubleshot on Ice,Tall,Whole,N/A,354 mL,90,2,1,0.1,5,35,14,0,13,2,2%,0%,8%,0%,150,Espresso
Starbucks Doubleshot on Ice,Tall,Soy,N/A,354 mL,70,1,0.1,0,0,30,13,0,11,2,2%,0%,8%,4%,150,Espresso
Starbucks Doubleshot on Ice,Tall,Coconut,N/A,354 mL,70,1.5,1.5,0,0,30,13,0,12,1,0%,0%,0%,0%,150,Espresso
Starbucks Doubleshot on Ice,Grande,Nonfat,N/A,473 mL,90,0,0,0,0,35,20,0,18,3,4%,0%,8%,0%,225,Espresso
Starbucks Doubleshot on Ice,Grande,2%,N/A,473 mL,100,1,1,0.1,5,40,20,0,18,3,4%,0%,8%,0%,225,Espresso
Starbucks Doubleshot on Ice,Grande,Whole,N/A,473 mL,110,2,1,0.1,5,35,20,0,18,3,2%,0%,8%,0%,225,Espresso
Starbucks Doubleshot on Ice,Grande,Soy,N/A,473 mL,100,1,0.1,0,0,35,19,0,16,3,2%,0%,8%,4%,225,Espresso
Starbucks Doubleshot on Ice,Grande,Coconut,N/A,473 mL,90,1.5,1.5,0,0,35,19,0,17,1,0%,0%,2%,0%,225,Espresso
Starbucks Doubleshot on Ice,Venti®,Nonfat,N/A,709 mL,150,0.1,0.1,0,0,50,33,0,29,4,6%,0%,10%,0%,375,Espresso
Starbucks Doubleshot on Ice,Venti®,2%,N/A,709 mL,170,2,1,0.1,5,55,33,0,29,4,6%,0%,10%,0%,375,Espresso
Starbucks Doubleshot on Ice,Venti®,Whole,N/A,709 mL,180,3,1.5,0.1,10,50,33,0,29,4,4%,0%,10%,0%,375,Espresso
Starbucks Doubleshot on Ice,Venti®,Soy,N/A,709 mL,160,1.5,0.2,0,0,45,31,0,27,4,4%,0%,10%,4%,375,Espresso
Starbucks Doubleshot on Ice,Venti®,Coconut,N/A,709 mL,150,2,2,0,0,50,32,0,28,2,0%,0%,2%,0%,375,Espresso
White Chocolate Mocha,Short,Nonfat,No Whip,236 mL,180,3,2.5,0,5,115,30,0,29,7,8%,0%,20%,0%,75,Espresso
White Chocolate Mocha,Short,Nonfat,Whip,236 mL,230,8,6,0.2,25,120,32,0,30,7,15%,0%,25%,0%,75,Espresso
White Chocolate Mocha,Short,2%,No Whip,236 mL,200,6,3.5,0.1,15,120,30,0,29,7,8%,2%,20%,0%,75,Espresso
White Chocolate Mocha,Short,2%,Whip,236 mL,250,11,7,0.2,35,125,32,0,30,7,15%,2%,25%,0%,75,Espresso
White Chocolate Mocha,Short,Whole,No Whip,236 mL,210,8,5,0.1,15,115,30,0,29,7,6%,0%,20%,0%,75,Espresso
White Chocolate Mocha,Short,Whole,Whip,236 mL,270,13,8,0.3,35,120,32,0,30,7,15%,0%,20%,0%,75,Espresso
White Chocolate Mocha,Short,Soy,No Whip,236 mL,180,5,2.5,0,5,105,28,1,25,6,6%,0%,20%,8%,75,Espresso
White Chocolate Mocha,Short,Soy,Whip,236 mL,230,10,6,0.2,20,110,29,1,26,6,10%,0%,25%,8%,75,Espresso
White Chocolate Mocha,Short,Coconut,No Whip,236 mL,180,6,5,0,5,115,28,0,27,3,0%,0%,6%,0%,75,Espresso
White Chocolate Mocha,Short,Coconut,Whip,236 mL,230,11,9,0.2,20,120,30,0,28,3,6%,0%,8%,0%,75,Espresso
White Chocolate Mocha,Tall,Nonfat,No Whip,354 mL,270,4.5,3.5,0,10,180,46,0,45,11,15%,2%,35%,0%,75,Espresso
White Chocolate Mocha,Tall,Nonfat,Whip,354 mL,330,10,7,0.2,30,190,48,0,46,12,20%,2%,35%,0%,75,Espresso
White Chocolate Mocha,Tall,2%,No Whip,354 mL,300,9,6,0.1,25,190,46,0,44,11,15%,2%,35%,0%,75,Espresso
White Chocolate Mocha,Tall,2%,Whip,354 mL,370,15,10,0.3,45,200,47,0,46,11,20%,2%,35%,0%,75,Espresso
White Chocolate Mocha,Tall,Whole,No Whip,354 mL,330,12,8,0.2,30,180,46,0,44,11,10%,2%,35%,0%,75,Espresso
White Chocolate Mocha,Tall,Whole,Whip,354 mL,390,18,12,0.4,50,190,47,0,46,11,20%,2%,35%,0%,75,Espresso
White Chocolate Mocha,Tall,Soy,No Whip,354 mL,280,8,4,0,5,170,41,1,38,10,10%,2%,35%,10%,75,Espresso
White Chocolate Mocha,Tall,Soy,Whip,354 mL,340,14,8,0.2,25,170,43,1,40,10,15%,2%,35%,10%,75,Espresso
White Chocolate Mocha,Tall,Coconut,No Whip,354 mL,270,10,9,0,5,180,42,0,41,4,0%,2%,10%,0%,75,Espresso
White Chocolate Mocha,Tall,Coconut,Whip,354 mL,330,16,12,0.2,25,180,44,0,43,4,6%,2%,10%,0%,75,Espresso
White Chocolate Mocha,Grande,Nonfat,No Whip,473 mL,350,6,4.5,0,10,230,61,0,58,14,20%,2%,45%,0%,150,Espresso
White Chocolate Mocha,Grande,Nonfat,Whip,473 mL,420,13,9,0.2,35,240,63,0,60,15,25%,2%,45%,0%,150,Espresso
White Chocolate Mocha,Grande,2%,No Whip,473 mL,400,11,7,0.2,30,240,60,0,58,14,15%,2%,45%,0%,150,Espresso
White Chocolate Mocha,Grande,2%,Whip,473 mL,470,18,12,0.4,55,250,62,0,59,14,25%,2%,45%,0%,150,Espresso
White Chocolate Mocha,Grande,Whole,No Whip,473 mL,430,15,10,0.3,35,230,60,0,58,14,15%,2%,40%,0%,150,Espresso
White Chocolate Mocha,Grande,Whole,Whip,473 mL,500,22,14,0.5,60,240,62,0,59,14,20%,2%,45%,0%,150,Espresso
White Chocolate Mocha,Grande,Soy,No Whip,473 mL,360,10,5,0,5,210,55,1,51,12,10%,2%,45%,15%,150,Espresso
White Chocolate Mocha,Grande,Soy,Whip,473 mL,430,17,10,0.2,30,220,57,1,52,13,20%,2%,45%,15%,150,Espresso
White Chocolate Mocha,Grande,Coconut,No Whip,473 mL,350,12,11,0,5,230,56,0,54,5,0%,2%,10%,0%,150,Espresso
White Chocolate Mocha,Grande,Coconut,Whip,473 mL,420,19,15,0.2,30,230,58,0,56,6,8%,2%,15%,0%,150,Espresso
